ID,Day,Hour,Day_of_the_Week,Channel,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Conversions,,Channel,,,Hour,Facebook,Impr. Facebook,Google Search,Impr. Google Search,Youtube,Impr. Youtube,Snapchat,Impr. Snapchat,TikTok,Impr. Snapchat
BXJDHA00018447,11/10/2018,03,quinta-feira,Google Search,3199002,1781840,1690425,1822,"$2.852,83",62,,,,,,,,,,,,,,,
BXJDHA00005024,12/09/2018,03,quarta-feira,Google Search,2464708,1406835,1327583,1370,"$2.144,53",37,,,,,,,,,,,,,,,
BXJDHA00018766,12/10/2018,06,sexta-feira,Google Search,3126996,1725943,1644278,2285,"$3.576,69",43,,,,,,,,,,,,,,,
BXJDHA00006420,18/09/2018,05,terça-feira,Google Search,2824095,1503253,1426566,1704,"$2.667,00",53,,,,,,,,,,,,,,,
BXJDHA00013258,11/11/2018,07,domingo,Google Search,7688714,4440122,4238243,6235,"$9.739,74",118,,,,,,,,,,,,,,,
BXJDHA00015838,19/09/2018,05,quarta-feira,Google Search,2870653,1544828,1465291,1664,"$2.596,23",32,,,,,,,,,,,,,,,
BXJDHA00021638,02/11/2018,06,sexta-feira,Google Search,3245431,1993176,1896530,2864,"$4.467,41",77,,,,,,,,,,,,,,,
BXJDHA00021980,29/10/2018,06,segunda-feira,Google Search,4231174,2456274,2330944,3369,"$5.250,56",91,,,,,,,,,,,,,,,
BXJDHA00021560,02/11/2018,05,sexta-feira,Google Search,2040716,1243752,1174418,1530,"$2.382,08",41,,,,,,,,,,,,,,,
BXJDHA00024567,10/11/2018,07,sábado,Google Search,7599756,4161240,3951956,5877,"$9.145,41",200,,,,,,,,,,,,,,,
BXJDHA00002409,03/09/2018,05,segunda-feira,Google Search,2195584,1408428,1359387,1651,"$2.568,82",56,,,,,,,,,,,,,,,
BXJDHA00011027,27/10/2018,02,sábado,Google Search,3599150,2180972,2054363,2279,"$3.543,63",27,,,,,,,,,,,,,,,
BXJDHA00004174,08/09/2018,04,sábado,Google Search,1758114,1104022,1041443,1084,"$1.685,21",21,,,,,,,,,,,,,,,
BXJDHA00024038,17/10/2018,06,quarta-feira,Google Search,3771085,2251608,2147866,3029,"$4.705,63",82,,,,,,,,,,,,,,,
BXJDHA00009591,23/09/2018,04,domingo,Google Search,2166022,1115924,1067723,1251,"$1.943,04",43,,,,,,,,,,,,,,,
BXJDHA00013192,11/11/2018,03,domingo,Google Search,2749198,1551606,1450830,1750,"$2.718,06",33,,,,,,,,,,,,,,,
BXJDHA00010974,27/10/2018,03,sábado,Google Search,2675895,1575769,1465633,1705,"$2.648,12",53,,,,,,,,,,,,,,,
BXJDHA00019341,25/10/2018,02,quinta-feira,Google Search,4174672,2522189,2383564,2675,"$4.154,48",91,,,,,,,,,,,,,,,
BXJDHA00008837,08/10/2018,03,segunda-feira,Google Search,2886167,1582540,1508586,1413,"$2.194,34",17,,,,,,,,,,,,,,,
BXJDHA00016754,20/09/2018,04,quinta-feira,Google Search,2155103,1207204,1133156,1135,"$1.760,79",31,,,,,,,,,,,,,,,
